uuid,author,link
afd76f30-02c6-4e2f-8374-befd1363473e,"Shivam Patel, Hareesh Singireddy & Uday Narayanan",https://aws.amazon.com/blogs/architecture/using-aws-systems-manager-in-hybrid-cloud-environments/
c58e02bc-70d0-4ed0-ac5d-b0dfae2311c6,Lanir Shacham,https://faddom.com/hybrid-cloud-with-aws-5-tools-and-a-reference-architecture/
e61e67df-958a-414f-8533-49ee30ac6441,Aman Sharma,https://gist.github.com/amanharitsh123/a90e684879c7238567640a8b675ee928
3f7a4d16-3c03-4f66-aa52-f628352eb288,Burr Sutter,https://gist.github.com/burrsutter/a1faf288efbb199dedc32bf030a5c3db
6151fe75-0ec0-4cc6-9e91-925797fddedf,Burr Sutter,https://gist.github.com/burrsutter/cd7fbae0a2bcbc3af096c2b199f84a8a
b42c7b66-415f-4482-9c33-06af7ad86300,Burr Sutter,https://gist.github.com/burrsutter/f6847b6919df63fcf96945389efeb949
03ad79b9-3276-48d7-a4a2-d2cd7bff0b04,Cian Clarke,https://gist.github.com/cianclarke/487baa33032d4cfc75b5
557e46a6-cea1-4b3b-9fae-6270e49e66ca,Diego Ciangottini,https://gist.github.com/dciangot/09825c5679df53353103ee4a18dd0296
09a62ae6-a1fd-4500-885c-2a0986afca1c,Mike Sparr,https://gist.github.com/mikesparr/b617a6f041190f4788b6e7019b3b371c
d001b79e-2700-4293-a2b6-eb3fdf94ed53,Leonardo Murillo,https://gist.github.com/murillodigital/372b6f4582d7a7db3cb27953b0295918
df2dcb10-283e-497b-9e28-2aefe71899f7,Leonardo Murillo,https://gist.github.com/murillodigital/af687601dd009e214d318b119e35ab4b
4ad876bd-acd1-4981-8804-b70bbf441b0b,@NewscatcherAPI (GitHub),https://gist.github.com/NewscatcherAPI/0b2acc3a0d2f6ae35d52b6ffd0d684af
2d0389b7-2488-4739-8eab-c1ca55563226,Pavel Petrenko,https://gist.github.com/pavel-petrenko/776df732a7a782bebffb6fe3d24f1831
931b620c-017b-42bc-b055-ee4f5957cacf,Simone Ruffilli,https://gist.github.com/sruffilli/6f7d35c15cc907326e5ffbad637a09e0
f6f1af11-83fe-4b20-a292-2b3ed2d3bb9f,Simone Ruffilli,https://gist.github.com/sruffilli/fb617854cf1ef5a632f5312943fc3233
ea77bfd1-96d1-44c2-9160-94704acf0b1d,@Tamwai (GitHub),https://gist.github.com/Tamwai/a67fe98dce60f000bca4509e62983e23
a215756e-5a10-4e26-8aea-e9b20dd7acf0,Tan Qi,https://gist.github.com/TQJADE/f69df2012728872ea5697085a5fa4d56
ee440bb2-6c7b-48db-901c-cf2fbe7cea23,Naomi Lin ,https://gist.github.com/wdrdres3qew5ts21/e2274091976f99aacf8d40a193156dcb
6ca192fb-1e12-4bc0-97e9-b4d5488340eb,Alibaba Automation,https://github.com/alibabacloud-automation/terraform-alicloud-hybrid-cloud-network
6f3824d9-3095-4635-befa-4d53690cccd3,Alibaba Automation,https://github.com/alibabacloud-automation/terraform-alicloud-hybrid-cloud-network
d751e6de-b1e1-48ce-8704-22fc55b79c8a,Alibaba Automation,https://github.com/alibabacloud-automation/terraform-alicloud-hybrid-cloud-network
d22f9b17-185c-405e-8590-33f37d186066,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
d9083d9a-6a54-4778-81f5-4ee540065fca,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
f13cba87-ecc4-4708-bc0c-a763a82ccb9c,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
39d105b8-73f0-4191-8468-aea6d9701a27,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
1684caa5-8524-4790-b53b-88ac4d3b4cc2,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
d61a8863-4212-43fd-8035-da300949e9b4,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
556cd37c-0152-44c9-9e3d-c6b86d419caf,Troy Ault,https://github.com/aultt/Azure-Terraform-LabinaBox
1ea707e5-bd2d-4479-a6d4-619f4b936f30,Azure,https://github.com/Azure/terraform-azapi-hybridcontainerservice
381cbce8-9221-4057-94a6-f3dd3bf9f036,Azure,https://github.com/Azure/terraform-azurerm-avm-res-hybridcontainerservice-provisionedclusterinstance
d325fdbd-ccdc-4f3d-b6c4-91a7550406b2,@caifeng (GitHub),https://github.com/cai11745/hybrid-cloud/tree/master/terraform
9497844a-e6de-4e04-a811-3e858013a143,@caifeng (GitHub),https://github.com/cai11745/hybrid-cloud/tree/master/terraform
89224698-638e-4b8c-bf3d-8cab4019feb6,@caifeng (GitHub),https://github.com/cai11745/hybrid-cloud/tree/master/terraform
d0dbcae5-68da-4cdc-a81d-8cd68531ca2d,@caifeng (GitHub),https://github.com/cai11745/hybrid-cloud/tree/master/terraform
6a568d9d-0842-42b4-a9b5-fe9952aa13f6,IBM Cloud Architecture & Solution Engineering,https://github.com/ibm-cloud-architecture/refarch-integration/
20bcb206-7d3c-48ac-85e1-621245e8d70e,IBM Cloud Architecture & Solution Engineering,https://github.com/ibm-cloud-architecture/refarch-integration/
10c32a5c-929b-4f97-9615-159a548d0b26,Jenna Sprattler,https://github.com/jksprattler/aws-networking
e7b3bdf7-2520-4e6b-a4f5-fd8d266c4712,Jenna Sprattler,https://github.com/jksprattler/terraform-azuread-users/tree/main
a3847c80-6af7-4f6b-bbd9-9aa981d93306,Khue Doan,https://github.com/khuedoan/cloudlab
8ec03918-35fe-4d12-8c99-13f9c5fc7194,Ramesh Rajendran,https://github.com/MrRameshRajendran/Hybrid_MultiCloud_Overlay
4109cfc9-8ae5-46a2-b9dc-645db55c1a41,Ramesh Rajendran,https://github.com/MrRameshRajendran/Hybrid_MultiCloud_Overlay
ec500735-41eb-463b-ab9c-a703bf2ded99,Ramesh Rajendran,https://github.com/MrRameshRajendran/Hybrid_MultiCloud_Overlay
3757ea65-20bc-4347-85ec-9f16e996c8e6,Ramesh Rajendran,https://github.com/MrRameshRajendran/Hybrid_MultiCloud_Overlay
d61e0cb5-8849-4afb-99cc-c2c1a15deb89,Ramesh Rajendran,https://github.com/MrRameshRajendran/Hybrid_MultiCloud_Overlay
d504765a-0fef-417b-8cdb-ba7192cf2cf2,@sergpet (GitHub),https://github.com/sergpet/awstasks
8b0729a2-d6c4-4b29-85c0-4ee5c3b64944,@sergpet (GitHub),https://github.com/sergpet/awstasks
54a5c68a-e30e-41b0-8ddf-25720e7e5bcd,@sergpet (GitHub),https://github.com/sergpet/awstasks
66a14fa5-cd8f-47d8-9619-b771cb443015,@sergpet (GitHub),https://github.com/sergpet/awstasks
f20d7502-01bd-4f09-9d80-50758afdf322,@sergpet (GitHub),https://github.com/sergpet/awstasks
b7dfa242-0610-4d34-9f6f-41f03d9ab446,@sergpet (GitHub),https://github.com/sergpet/awstasks
5110ffed-72c6-4672-bbe1-9297bc04e5e1,@sergpet (GitHub),https://github.com/sergpet/awstasks
12039466-a9b2-4971-aa2f-66feecdf9125,@sergpet (GitHub),https://github.com/sergpet/awstasks
881e5d89-1cbf-4573-9899-6583a9df91be,@sergpet (GitHub),https://github.com/sergpet/awstasks
017536c8-d84f-4501-b139-dfc600f9ca32,@sergpet (GitHub),https://github.com/sergpet/awstasks
f62b951c-af2d-4665-bb79-2b032a1d29ae,@sergpet (GitHub),https://github.com/sergpet/awstasks
7b39b499-4c47-4eb4-a2c0-23905b634aec,@sergpet (GitHub),https://github.com/sergpet/awstasks
30efee67-2bcc-4d64-805c-a01d8dade92c,@sergpet (GitHub),https://github.com/sergpet/awstasks
ea22f058-4ca4-4e5a-9f63-d37af7710326,@sergpet (GitHub),https://github.com/sergpet/awstasks
9e0dcc32-bb13-4430-93f7-3784bdd4a0db,@sergpet (GitHub),https://github.com/sergpet/awstasks
739c5491-c9ce-436b-a984-6bc8941b2a27,@sergpet (GitHub),https://github.com/sergpet/awstasks
aeb87ca4-7c1c-40f6-aaac-30ab28691a07,@sergpet (GitHub),https://github.com/sergpet/awstasks
1415de3d-5397-42f8-a6cb-e02be9a40eec,@sergpet (GitHub),https://github.com/sergpet/awstasks
9daf31e1-f1b5-4f1a-acd3-d8fd7611b36a,@sergpet (GitHub),https://github.com/sergpet/awstasks
4264aea3-017d-4b3a-8ba1-d9cdd01e9828,@sergpet (GitHub),https://github.com/sergpet/awstasks
0ef3e8af-7251-49e2-a374-293ef8ebd82c,@sergpet (GitHub),https://github.com/sergpet/awstasks
c04457ea-056f-4206-977f-cd57fbfac8d0,@sergpet (GitHub),https://github.com/sergpet/awstasks
7bd3421f-761f-4b43-9976-aef155abbb31,@sergpet (GitHub),https://github.com/sergpet/awstasks
36b4ae53-f43c-45d0-94a6-3fccf4617a47,@sergpet (GitHub),https://github.com/sergpet/awstasks
8434848d-e2e0-420e-9258-da4513a724d2,@sergpet (GitHub),https://github.com/sergpet/awstasks
bd2cf24e-bc19-4403-8cbd-10937818fd2c,@sergpet (GitHub),https://github.com/sergpet/awstasks
87516b8e-0fd3-4a45-9ecc-278531e991a5,@sergpet (GitHub),https://github.com/sergpet/awstasks
b2f5b0e3-249b-457b-a48e-433c8baaa7da,@sergpet (GitHub),https://github.com/sergpet/awstasks
281c1b89-12fe-4e28-ad04-a2f4d78f4e01,@sergpet (GitHub),https://github.com/sergpet/awstasks
ea5c9afd-d52d-40ac-8ce6-a7283264bec8,@sergpet (GitHub),https://github.com/sergpet/awstasks
5a6a5031-b222-4afe-b29e-0d2759050a90,@sergpet (GitHub),https://github.com/sergpet/awstasks
439222ab-7585-4559-aa46-20fe031f05bc,@sergpet (GitHub),https://github.com/sergpet/awstasks
e9b16a83-6a11-49a5-a515-edff5695b88e,@sergpet (GitHub),https://github.com/sergpet/awstasks
